,sender,receiver,relevanceScore
314,200,136,82
315,200,261,79
316,208,201,32
317,208,50,19
318,219,33,22
319,219,237,98
320,219,18,88
321,219,261,69
322,219,297,31
323,219,94,54
324,219,324,9
325,329,56,65
326,329,260,45
327,329,4,69
328,329,9,79
329,329,73,69
330,329,145,99
331,155,136,85
332,155,18,10
333,155,222,31
334,155,230,67
335,155,158,24
336,155,93,21
337,315,209,32
338,315,99,32
339,315,293,67
340,315,283,43
341,315,4,53
342,315,94,18
343,315,135,9
344,315,81,62
345,315,175,18
346,315,125,10
347,181,65,53
348,181,202,98
349,181,83,31
350,93,26,36
351,93,94,84
352,93,77,78
353,93,42,96
354,93,128,8
355,281,8,98
356,281,261,34
357,281,176,64
358,54,6,54
359,54,89,53
360,54,40,63
361,54,52,62
362,54,260,53
363,54,271,65
364,54,34,42
365,202,51,51
366,202,318,19
367,202,9,2
368,202,81,55
369,202,150,87
370,202,277,38
371,202,108,53
372,202,330,41
373,202,253,58
374,202,271,2
375,202,23,15
376,202,85,92
377,202,153,26
378,275,204,18
379,275,213,16
380,275,196,14
381,161,147,1
382,161,324,22
383,161,141,89
384,161,16,58
385,161,64,38
386,142,26,81
387,142,230,92
388,184,178,42
389,184,113,15
390,184,16,32
391,184,17,31
392,210,105,15
393,210,233,70
394,210,109,10
395,294,216,81
396,294,324,56
397,294,232,10
398,294,254,73
399,294,120,25
400,294,154,12
401,294,228,10
402,294,278,30
403,191,328,68
404,191,226,93
405,191,320,74
406,191,309,69
407,300,113,12
408,300,228,73
409,300,307,59
410,300,16,8
411,137,69,18
412,137,227,63
413,137,240,28
414,137,60,81
415,251,33,45
416,251,19,24
417,297,21,41
418,297,19,82
419,297,190,3
420,270,328,14
421,261,74,74
422,261,213,63
423,204,68,1
424,204,260,31
425,204,46,81
426,204,33,35
427,227,217,6
428,227,77,71
429,99,32,65
430,99,108,48
431,99,189,38
432,99,43,87
433,99,295,81
434,99,56,60
435,95,2,92
436,95,180,13
437,95,125,83
438,95,241,69
439,95,21,91
440,95,175,57
441,95,32,2
442,95,51,92
443,264,154,46
444,264,322,72
445,264,312,29
446,109,33,14
447,109,190,35
448,109,318,96
449,303,35,12
450,209,150,99
451,209,75,67
452,209,118,58
453,209,58,30
454,239,307,40
455,239,64,4
456,266,100,82
457,266,124,77
458,87,125,94
459,87,75,85
460,87,108,66
461,87,253,84
462,87,189,38
463,87,110,90
464,87,175,95
465,87,97,88
466,318,124,57
467,318,201,79
468,318,171,27
469,292,322,48
470,94,135,71
471,94,33,91
472,94,136,94
473,94,174,27
474,94,158,34
475,236,22,97
476,236,240,15
477,236,217,32
478,236,310,63
479,323,296,97
480,323,21,18
481,323,314,39
482,323,304,76
483,179,69,55
484,328,48,35
485,309,288,66
486,212,30,68
487,107,118,31
488,312,159,77
489,312,133,79
490,173,31,58
491,230,174,38
492,83,20,38
493,83,98,41
494,83,125,19
495,83,241,47
496,180,108,73
497,180,75,37
498,180,250,88
499,180,2,97
500,174,42,99
501,174,237,34
502,174,26,64
503,174,269,89
504,174,59,89
505,283,156,8
506,283,71,97
507,254,11,19
508,254,61,34
509,254,262,50
510,254,289,5
511,254,39,8
512,240,168,5
513,240,69,32
514,222,237,44
515,222,158,18
516,260,86,15
517,260,97,46
518,260,271,28
519,101,49,70
520,101,21,13
521,101,10,21
522,101,196,99
523,307,66,22
524,307,16,12
525,307,39,67
526,77,58,77
527,77,188,22
528,324,64,6
529,324,141,47
530,324,120,13
531,324,154,18
532,118,27,43
533,118,46,35
534,118,85,47
535,118,51,9
536,118,175,32
537,145,51,74
538,145,2,67
539,145,56,60
540,145,25,58
541,125,134,50
542,125,32,77
543,125,56,25
544,231,76,1
545,34,134,25
546,293,278,26
547,176,50,46
548,218,17,94
549,218,39,79
550,237,59,45
551,237,33,27
552,237,128,85
553,298,162,24
554,298,205,80
555,298,38,81
556,282,258,96
557,147,66,20
558,147,39,90
559,147,232,34
560,147,178,60
561,147,120,82
562,217,188,66
563,158,26,50
564,158,59,2
565,89,92,39
566,89,52,72
567,112,55,19
568,24,21,25
569,24,105,49
570,216,11,55
571,216,129,42
572,216,289,45
573,49,2,50
574,49,149,63
575,49,189,44
576,49,134,9
577,49,68,11
578,192,80,84
579,289,278,47
580,196,124,96
581,196,100,51
582,80,52,14
583,80,177,48
584,80,6,96
585,80,92,94
586,80,162,53
587,81,4,97
588,81,153,50
589,86,38,24
590,86,51,89
591,136,128,2
592,332,159,84
593,332,22,73
594,154,141,48
595,154,120,4
596,108,150,85
597,301,278,19
598,301,61,21
599,37,15,87
600,37,60,37
601,37,44,96
602,38,9,36
603,38,92,70
604,38,20,48
605,38,2,84
606,113,228,51
607,113,120,12
608,314,290,83
609,314,302,21
610,23,9,51
611,262,193,17
612,262,61,86
613,149,56,73
614,277,271,65
615,277,117,93
616,277,114,98
617,288,4,53
618,288,276,27
619,288,35,10
620,120,39,86
621,120,16,72
622,201,33,6
623,201,50,100
624,201,124,84
625,177,68,22
626,48,2,70
627,271,47,33
628,317,304,48
629,132,276,74
630,193,141,64
631,26,18,82
632,26,135,75
633,135,33,13
634,135,228,40
635,39,16,62
636,39,17,6
637,39,104,51
638,226,276,15
639,226,313,15
640,190,50,52
641,320,313,6
642,243,223,87
643,232,17,41
644,110,27,67
645,43,131,100
646,207,195,75
647,55,104,17
648,76,10,7
649,76,3,14
650,59,33,58
651,59,128,84
652,59,18,67
653,14,1,88
654,14,148,11
655,126,71,55
656,71,15,34
657,213,42,39
658,148,1,10
659,148,41,70
660,22,8,20
661,22,124,37
662,64,16,29
663,66,17,46
664,228,17,38
665,40,25,40
666,104,74,95
667,221,29,28
668,221,28,48
669,221,326,44
670,221,163,79
671,32,2,31
672,32,56,62
673,188,203,56
674,188,58,29
675,8,21,35
676,8,290,25
677,178,16,46
678,178,17,92
679,199,9,83
680,124,140,63
681,153,114,3
682,153,4,71
683,153,214,11
684,313,29,55
685,20,194,57
686,85,25,96
687,187,33,84
688,16,33,61
689,214,114,54
690,214,245,7
691,133,105,58
692,133,170,50
693,56,25,32
694,250,2,53
695,250,21,80
696,106,5,18
697,106,130,62
698,117,60,65
699,331,308,1
700,20,125,90
701,20,186,65
702,20,193,13
703,20,272,78
704,33,9,45
705,33,18,80
706,33,21,69
707,33,30,42
708,33,42,9
709,33,51,35
710,33,54,36
711,33,74,96
712,33,93,26
713,33,95,46
714,33,111,84
715,33,128,75
716,33,136,28
717,33,142,96
718,33,155,90
719,33,158,84
720,33,174,58
721,33,186,92
722,33,200,92
723,33,213,69
724,33,222,15
725,33,230,36
726,33,256,49
727,33,260,89
728,33,263,14
729,33,265,94
730,33,274,53
731,33,321,35
732,202,21,69
733,202,27,70
734,202,56,15
735,202,73,56
736,202,75,84
737,202,87,12
738,202,96,13
739,202,99,88
740,202,110,80
741,202,114,40
742,202,118,21
743,202,145,98
744,202,175,88
745,202,196,30
746,202,199,14
747,202,209,86
748,202,211,45
749,202,260,91
750,202,263,77
751,202,291,74
752,202,321,85
753,56,2,68
754,56,9,75
755,56,21,76
756,56,38,91
757,56,49,21
758,56,63,1
759,56,66,8
760,56,82,7
761,56,95,7
762,56,103,55
763,56,110,26
764,56,114,54
765,56,118,88
766,56,166,77
767,56,180,10
768,56,181,12
769,56,186,99
770,56,189,6
771,56,211,14
772,56,241,86
773,56,296,38
774,78,16,82
775,78,17,61
776,78,18,47
777,78,26,38
778,78,39,95
779,78,42,19
780,78,90,25
781,78,93,54
782,78,94,5
783,78,111,86
784,78,113,26
785,78,128,62
786,78,135,19
787,78,141,89
788,78,142,73
789,78,144,14
790,78,147,13
791,78,155,29
792,78,158,82
793,78,161,4
794,78,174,41
795,78,178,26
796,78,184,67
797,78,186,6
798,78,200,11
799,78,218,12
800,78,219,17
801,78,224,42
802,78,230,50
803,78,232,86
804,78,237,13
805,78,239,73
806,78,242,41
807,78,256,41
808,78,265,5
809,78,281,58
810,78,307,34
811,78,315,65
812,9,2,27
813,9,4,35
814,9,44,26
815,9,46,27
816,9,51,78
817,9,57,70
818,9,63,78
819,9,73,22
820,9,82,56
821,9,85,58
822,9,95,38
823,9,101,78
824,9,118,40
825,9,145,66
826,9,181,73
827,9,186,40
828,9,204,49
829,9,211,59
830,9,260,89
831,9,311,66
832,9,321,34
833,2,4,35
834,2,10,43
835,2,21,38
836,2,25,46
837,2,51,7
838,2,70,64
839,2,73,11
840,2,75,30
841,2,85,94
842,2,87,40
843,2,99,89
844,2,103,65
845,2,107,42
846,2,125,8
847,2,138,77
848,2,149,2
849,2,151,23
850,2,166,21
851,2,175,64
852,2,181,6
853,2,189,81
854,2,204,9
855,2,209,81
856,2,211,17
857,2,238,13
858,2,241,33
859,2,252,64
860,2,263,9
861,2,272,7
862,2,299,62
863,2,315,55
864,2,328,37
865,180,21,35
866,180,32,23
867,180,49,1
868,180,70,47
869,180,87,99
870,180,99,55
871,180,125,29
872,180,134,76
873,180,138,24
874,180,145,86
875,180,146,67
876,180,149,88
877,180,241,4
878,180,252,73
879,180,263,41
880,180,295,68
881,180,330,7
882,215,55,60
883,215,186,30
884,215,195,13
885,215,264,11
886,215,290,42
887,215,322,85
888,215,323,34
889,149,53,71
890,149,70,92
891,149,99,17
892,149,103,79
893,149,125,8
894,149,134,82
895,149,135,93
896,149,146,34
897,149,263,10
898,260,38,10
899,260,46,40
900,260,51,51
901,260,72,64
902,260,85,42
903,260,87,10
904,260,95,18
905,260,109,83
906,260,135,52
907,260,256,50
908,260,263,59
909,260,272,19
910,260,291,99
911,260,318,99
912,206,10,24
913,206,14,99
914,206,68,15
915,206,100,36
916,206,109,58
917,206,124,73
918,206,148,99
919,206,187,57
920,206,201,60
921,206,242,51
922,206,266,52
923,206,272,39
924,206,291,34
925,206,318,91
926,63,51,85
927,63,72,88
928,63,321,10
929,158,18,17
930,158,42,80
931,158,74,19
932,158,93,28
933,158,111,71
934,158,128,38
935,158,135,91
936,158,142,38
937,158,144,49
938,158,174,49
939,158,230,60
940,158,237,34
941,158,265,67
942,158,274,89
943,153,10,45
944,153,48,18
945,153,98,18
946,153,99,97
947,153,102,40
948,153,151,5
949,153,186,13
950,153,193,32
951,153,196,16
952,153,211,46
953,153,242,63
954,153,245,13
955,153,259,79
956,153,272,65
957,153,277,27
958,153,282,79
959,153,291,93
960,153,293,22
961,153,296,15
962,153,328,27
963,153,332,67
964,174,70,88
965,174,93,43
966,174,111,41
967,174,128,27
968,174,136,80
969,174,142,77
970,174,144,1
971,174,155,8
972,174,200,86
973,174,256,92
974,174,261,1
975,174,265,15
976,174,281,57
977,6,12,58
978,6,34,17
979,6,52,48
980,6,92,62
981,6,162,93
982,6,205,6
983,6,298,50
984,192,52,39
985,192,54,90
986,192,89,50
987,192,92,76
988,192,160,96
989,192,162,89
990,192,298,26
991,192,316,11
992,17,16,16
993,17,90,7
994,17,120,41
995,17,141,7
996,17,147,21
997,17,154,62
998,17,164,100
999,17,224,5
1000,17,239,1
1001,17,280,68
1002,17,306,78
1003,17,307,24
1004,105,95,62
1005,105,170,27
1006,105,312,70
1007,51,4,67
1008,51,21,57
1009,51,23,29
1010,51,27,67
1011,51,38,24
1012,51,44,11
1013,51,46,87
1014,51,54,42
1015,51,75,49
1016,51,87,10
1017,51,108,18
1018,51,109,11
1019,51,110,96
1020,51,137,76
1021,51,138,88
1022,51,150,84
1023,51,175,70
1024,51,199,37
1025,51,209,83
1026,51,238,46
1027,51,256,23
1028,51,271,76
1029,51,292,58
1030,91,15,25
1031,91,37,83
1032,91,272,2
1033,101,46,14
1034,101,67,83
1035,101,68,7
1036,101,102,67
1037,101,189,58
1038,101,204,53
1039,101,213,29
1040,101,283,96
1041,101,315,47
1042,184,39,87
1043,184,66,91
1044,184,165,37
1045,184,307,92
1046,16,18,27
1047,16,36,27
1048,16,66,18
1049,16,76,73
1050,16,90,59
1051,16,113,49
1052,16,129,55
1053,16,141,25
1054,16,147,64
1055,16,154,73
1056,16,159,88
1057,16,164,8
1058,16,169,87
1059,16,218,69
1060,16,228,94
1061,16,232,20
1062,16,239,62
1063,16,280,45
1064,16,294,12
1065,16,306,17
1066,16,312,29
1067,16,324,93
1068,187,59,50
1069,187,82,13
1070,187,109,38
1071,187,124,85
1072,187,196,17
1073,187,201,37
1074,187,208,93
1075,187,219,84
1076,187,256,35
1077,39,61,18
1078,39,113,18
1079,39,164,21
1080,39,165,6
1081,39,178,1
1082,39,228,93
1083,39,232,78
1084,39,239,52
1085,39,285,64
1086,39,294,46
1087,39,300,19
1088,39,325,3
1089,32,21,29
1090,32,49,81
1091,32,87,72
1092,32,151,5
1093,32,181,73
1094,32,189,30
1095,32,250,80
1096,32,330,25
1097,26,42,1
1098,26,59,70
1099,26,68,80
1100,26,74,23
1101,26,94,95
1102,26,111,5
1103,26,136,84
1104,26,155,47
1105,26,200,55
1106,26,230,8
1107,26,237,19
1108,26,256,34
1109,26,274,72
1110,142,18,75
1111,142,42,41
1112,142,59,65
1113,142,74,36
1114,142,93,49
1115,142,94,54
1116,142,111,93
1117,142,128,42
1118,142,136,43
1119,142,155,13
1120,142,200,91
1121,142,219,14
1122,142,222,25
1123,142,237,98
1124,142,265,85
1125,142,274,30
1126,74,18,74
1127,74,59,76
1128,74,93,82
1129,74,128,22
1130,74,135,44
1131,74,144,67
1132,74,146,28
1133,74,175,1
1134,74,213,72
1135,74,219,96
1136,74,230,76
1137,74,256,33
1138,14,115,46
1139,25,38,43
1140,25,49,53
1141,25,83,47
1142,25,95,98
1143,25,99,36
1144,25,103,46
1145,25,125,96
1146,25,188,16
1147,25,241,47
1148,25,242,41
1149,25,250,55
1150,25,263,18
1151,25,295,88
1152,25,321,31
1153,25,328,90
1154,113,64,90
1155,113,66,14
1156,113,141,90
1157,113,147,46
1158,113,161,45
1159,113,178,63
1160,113,218,37
1161,113,224,41
1162,113,232,8
1163,113,239,28
1164,113,254,3
1165,113,280,32
1166,113,294,31
1167,113,306,68
1168,113,307,40
1169,113,325,3
1170,49,10,59
1171,49,21,11
1172,49,34,94
1173,49,38,72
1174,49,46,8
1175,49,95,93
1176,49,99,85
1177,49,103,10
1178,49,108,51
1179,49,125,39
1180,49,145,59
1181,49,151,90
1182,49,181,24
1183,49,209,57
1184,49,211,13
1185,49,241,78
1186,49,250,7
1187,49,252,24
1188,59,42,8
1189,59,93,99
1190,59,94,93
1191,59,136,48
1192,59,144,88
1193,59,146,91
1194,59,155,94
1195,59,219,73
1196,59,230,17
1197,59,274,54
1198,30,100,49
1199,30,152,55
1200,30,194,21
1201,30,282,38
1202,48,15,56
1203,48,114,85
1204,96,75,89
1205,96,87,6
1206,96,97,8
1207,96,108,13
1208,96,118,31
1209,96,175,93
1210,96,199,63
1211,87,21,51
1212,87,23,62
1213,87,38,31
1214,87,46,3
1215,87,95,17
1216,87,99,94
1217,87,103,67
1218,87,138,80
1219,87,146,55
1220,87,150,27
1221,87,181,53
1222,87,199,71
1223,87,209,45
1224,87,211,53
1225,87,263,83
1226,87,299,62
1227,87,330,8
1228,115,19,38
1229,115,271,30
1230,115,310,37
1231,75,99,11
1232,75,108,62
1233,75,138,12
1234,75,150,2
1235,75,175,77
1236,75,211,36
1237,75,238,82
1238,75,252,68
1239,75,263,51
1240,75,330,62
1241,94,18,73
1242,94,42,28
1243,94,104,57
1244,94,128,97
1245,94,144,88
1246,94,155,29
1247,94,188,14
1248,94,200,84
1249,94,213,66
1250,94,217,41
1251,94,230,38
1252,94,237,91
1253,94,242,70
1254,94,256,69
1255,94,265,100
1256,94,274,42
1257,82,10,66
1258,82,38,43
1259,82,50,10
1260,82,66,58
1261,82,99,36
1262,82,109,14
1263,82,145,33
1264,82,201,38
1265,82,204,16
1266,82,208,76
1267,82,213,56
1268,82,272,54
1269,82,318,83
1270,82,327,83
1271,23,4,55
1272,23,27,25
1273,23,81,39
1274,23,85,82
1275,23,107,14
1276,23,108,84
1277,23,110,43
1278,23,114,39
1279,23,118,37
1280,23,138,40
1281,23,145,48
1282,23,146,36
1283,23,150,94
1284,23,175,53
1285,23,199,33
1286,23,209,38
1287,23,238,9
1288,23,252,75
1289,23,277,32
1290,52,88,93
1291,52,92,13
1292,52,160,31
1293,52,162,75
1294,52,205,16
1295,52,222,24
1296,52,279,88
1297,52,298,20
1298,128,18,16
1299,128,111,52
1300,128,144,3
1301,128,175,57
1302,128,219,40
1303,128,230,90
1304,128,265,17
1305,99,21,65
1306,99,38,36
1307,99,95,73
1308,99,103,22
1309,99,125,75
1310,99,145,97
1311,99,151,56
1312,99,171,100
1313,99,181,100
1314,99,241,54
1315,99,252,66
1316,99,263,19
1317,99,299,28
1318,99,321,4
1319,99,330,27
1320,162,38,88
1321,162,40,90
1322,162,54,28
1323,162,88,11
1324,162,89,22
1325,162,92,69
1326,162,205,93
1327,162,279,59
1328,151,38,92
1329,151,70,11
1330,151,95,18
1331,151,125,92
1332,151,135,6
1333,151,146,76
1334,151,181,39
1335,151,211,9
1336,151,250,60
1337,151,272,7
1338,186,3,44
1339,186,5,53
1340,186,7,3
1341,186,15,84
1342,186,29,92
1343,186,42,28
1344,186,57,78
1345,186,61,28
1346,186,81,15
1347,186,83,46
1348,186,121,94
1349,186,123,39
1350,186,132,71
1351,186,145,3
1352,186,163,71
1353,186,183,39
1354,186,193,63
1355,186,194,45
1356,186,195,14
1357,186,212,31
1358,186,214,38
1359,186,216,22
1360,186,244,94
1361,186,245,70
1362,186,288,66
1363,186,308,69
1364,186,309,86
1365,186,315,39
1366,186,326,88
1367,186,334,85
1368,47,46,83
1369,47,312,38
1370,201,10,56
1371,201,22,57
1372,201,68,62
1373,201,100,73
1374,201,109,56
1375,201,176,66
1376,201,196,64
1377,201,266,76
1378,201,272,69
1379,201,291,10
1380,201,327,77
1381,238,5,62
1382,238,43,74
1383,238,106,48
1384,238,108,46
1385,238,110,18
1386,238,130,27
1387,238,137,67
1388,238,150,49
1389,238,175,26
1390,238,209,64
1391,238,252,37
1392,136,18,87
1393,136,42,49
1394,136,70,90
1395,136,93,15
1396,136,144,89
1397,136,219,100
1398,136,230,9
1399,136,237,12
1400,136,256,13
1401,136,265,55
1402,136,274,5
1403,209,43,31
1404,209,108,35
1405,209,110,56
1406,209,138,64
1407,209,146,81
1408,209,175,24
1409,209,253,19
1410,209,330,85
1411,65,41,17
1412,8,70,12
1413,8,176,15
1414,8,219,2
1415,8,322,60
1416,18,42,17
1417,18,93,30
1418,18,111,73
1419,18,170,54
1420,18,200,53
1421,18,230,54
1422,18,237,71
1423,18,242,58
1424,18,274,21
1425,18,315,42
1426,204,10,93
1427,204,67,2
1428,204,146,58
1429,204,156,41
1430,204,196,57
1431,204,213,82
1432,204,263,14
1433,204,272,36
1434,204,283,57
1435,147,90,54
1436,147,141,94
1437,147,164,62
1438,147,165,27
1439,147,224,18
1440,147,228,21
1441,147,239,39
1442,147,280,33
1443,147,285,78
1444,147,294,29
1445,147,300,71
1446,147,307,17
1447,178,90,39
1448,178,165,85
1449,178,218,35
1450,178,306,49
1451,178,307,43
1452,178,325,74
1453,84,135,86
1454,216,3,54
1455,216,61,76
1456,216,183,47
1457,216,254,84
1458,216,262,96
1459,216,278,61
1460,216,293,99
1461,280,66,94
1462,280,141,67
1463,280,165,79
1464,280,224,58
1465,280,306,75
1466,280,307,52
1467,280,324,40
1468,280,325,71
1469,69,57,53
1470,69,58,96
1471,69,173,11
1472,69,188,8
1473,69,227,45
1474,69,236,10
1475,161,120,99
1476,161,154,16
1477,161,155,80
1478,161,165,79
1479,161,218,83
1480,161,228,79
1481,161,232,55
1482,161,294,89
1483,161,306,19
1484,161,325,2
1485,21,22,24
1486,21,103,14
1487,21,119,10
1488,21,125,75
1489,21,145,74
1490,21,146,31
1491,21,156,12
1492,21,170,62
1493,21,181,24
1494,21,189,49
1495,21,196,27
1496,21,211,82
1497,21,233,92
1498,21,241,84
1499,21,252,17
1500,21,263,99
1501,21,283,84
1502,21,310,25
1503,21,330,77
1504,19,22,54
1505,19,50,22
1506,19,169,24
1507,19,310,7
1508,233,24,35
1509,233,106,90
1510,328,114,52
1511,328,125,80
1512,68,10,63
1513,68,34,99
1514,68,100,100
1515,68,109,12
1516,68,111,44
1517,68,124,39
1518,68,156,8
1519,68,196,19
1520,68,208,91
1521,68,266,9
1522,68,272,89
1523,68,318,65
1524,68,332,61
1525,181,38,78
1526,181,70,88
1527,181,73,9
1528,181,95,5
1529,181,103,100
1530,181,125,62
1531,181,145,24
1532,181,166,88
1533,181,189,55
1534,181,211,77
1535,181,263,50
1536,181,329,88
1537,217,58,61
1538,217,77,44
1539,217,80,17
1540,217,93,37
1541,217,130,21
1542,217,179,18
1543,217,203,41
1544,217,240,71
1545,70,64,59
1546,70,134,25
1547,70,145,80
1548,70,166,99
1549,70,211,32
1550,70,241,78
1551,70,250,16
1552,70,252,9
1553,70,281,27
1554,70,295,13
1555,261,104,67
1556,261,135,41
1557,261,263,64
1558,261,265,46
1559,261,315,17
1560,218,90,87
1561,218,164,77
1562,218,165,64
1563,218,228,37
1564,218,306,84
1565,218,325,54
1566,154,72,6
1567,154,228,36
1568,154,322,62
1569,154,325,40
1570,241,38,7
1571,241,98,7
1572,241,125,92
1573,241,175,90
1574,241,211,88
1575,241,250,44
1576,241,295,16
1577,35,28,67
1578,35,163,11
1579,35,221,28
1580,35,244,87
1581,35,326,45
1582,150,95,27
1583,150,110,74
1584,150,118,89
1585,150,138,100
1586,150,146,46
1587,150,166,52
1588,150,175,83
1589,150,253,8
1590,150,330,39
1591,90,120,95
1592,90,124,43
1593,90,159,72
1594,90,165,70
1595,90,219,41
1596,90,232,54
1597,90,294,45
1598,90,307,60
1599,100,109,35
1600,100,208,60
1601,100,272,58
1602,100,318,50
1603,196,10,18
1604,196,50,73
1605,196,109,86
1606,196,208,64
1607,196,213,91
1608,196,266,80
1609,196,272,78
1610,196,291,81
1611,196,318,65
1612,196,327,38
1613,248,234,39
1614,248,290,50
1615,248,293,71
1616,248,314,67
1617,93,111,76
1618,93,135,18
1619,93,144,69
1620,93,188,80
1621,93,200,87
1622,93,203,78
1623,93,227,81
1624,93,230,47
1625,93,237,9
1626,93,256,49
1627,93,274,72
1628,118,36,48
1629,118,95,26
1630,118,110,62
1631,22,10,49
1632,22,109,36
1633,22,156,94
1634,22,189,68
1635,22,283,91
1636,22,286,22
1637,22,292,79
1638,296,293,79
1639,296,322,44
1640,266,50,90
1641,266,109,56
1642,266,208,28
1643,266,272,53
1644,266,288,10
1645,266,318,99
1646,288,7,18
1647,288,15,68
1648,288,28,42
1649,288,29,90
1650,288,221,75
1651,288,313,35
1652,288,320,57
1653,164,34,73
1654,164,66,100
1655,164,165,14
1656,164,228,13
1657,164,232,24
1658,164,306,48
1659,164,307,30
1660,164,325,12
1661,62,4,97
1662,62,81,19
